Code;Libellé;Libellé ticket de caisse;Famille;Marque;Prix d'achat HT;Prix de vente HT;Tva;Prix de vente TTC;Quantité;Poids (Kg);Unité;Désignation;Observations;Quantité d'Alerte
ART0406;FANTA LEMON 4 X1.5L;;BOISSON;;8.5000;9.8000;6.0000;10.3900;0;;;FANTA LEMON 4 X1.5L;;
ART0436;KARTON BAKIES F2-711 250ST;;EMBALLAGE;;7.5000;8.6000;21.0000;10.4100;0;;;KARTON BAKIES F2-711 250ST;;
ART0454;ORANGINA 24X0.33L;;BOISSON;;7.0000;14.8000;6.0000;15.6880;0;;;ORANGINA 24X0.33L;;
ART0371;BICKY DRESSING JAUNE TUBE 1 KG;;SNACK;;6.7000;7.7000;6.0000;8.1600;0;;;BICKY DRESSING JAUNE TUBE 1 KG;;
ART0403;FALAFEL MISTER 1150 GR SOUS VIDE;;SNACK;;6.6000;7.6000;6.0000;8.0600;0;;;FALAFEL MISTER 1150 GR SOUS VIDE;;
ART0447;NUGGETS HALAL 1 KG FOSTER;;SNACK;;6.4000;7.4000;6.0000;7.8400;0;;;NUGGETS HALAL 1 KG FOSTER;;
ART0500;TENDERS PIQUANT;;SNACK;;6.4000;7.4000;6.0000;7.8400;0;;;TENDERS PIQUANT;;
ART0499;TENDERS NATURE;;SNACK;;6.3000;7.2000;6.0000;7.6300;0;;;TENDERS NATURE;;
ART0456;PAIN HAMBURGER NUMBER ONE 24 X 82G;;SNACK;;6.2000;7.1000;6.0000;7.5300;0;;;PAIN HAMBURGER NUMBER ONE 24 X 82G;;
ART0435;KARTON BAKIES F0;;EMBALLAGE;;6.0000;6.9000;21.0000;8.3500;0;;;KARTON BAKIES F0;;
ART0370;AYRAN BARDAK 20 X 250 ML OZFOOD;;SNACK;;5.9000;6.8000;6.0000;7.2100;0;;;AYRAN BARDAK 20 X 250 ML OZFOOD;;
ART0448;NUGGY MEKKAFOOD;;SNACK;;5.6000;6.4000;6.0000;6.7800;0;;;NUGGY MEKKAFOOD;;
ART0387;CHICKENBURGERSAUS TUBE ANDA 1L;;SNACK;;5.3000;6.1000;6.0000;6.4700;0;;;CHICKENBURGERSAUS TUBE ANDA 1L;;
ART0404;FALAFEL MISTER 1KG;;SNACK;;5.2000;6.0000;6.0000;6.3600;0;;;FALAFEL MISTER 1KG;;
ART0365;AMERICAINE EXTRA TUBE 1L ANDA;;SNACK;;5.1000;5.9000;6.0000;6.2500;0;;;AMERICAINE EXTRA TUBE 1L ANDA;;
ART0394;COCKTAIL HALAL TUBE 1L ANDA;;SNACK;;5.0000;5.8000;6.0000;6.1500;0;;;COCKTAIL HALAL TUBE 1L ANDA;;
ART0498;TARTARE MAISON TUBE ANDA 1L;;SNACK;;4.2000;4.8000;6.0000;5.0900;0;;;TARTARE MAISON TUBE ANDA 1L;;
ART0444;MAIS EN GRAINS DIADEM 3L;;SNACK;;4.0000;4.6000;6.0000;4.8800;0;;;MAIS EN GRAINS DIADEM 3L;;
ART0445;MAYONNAISE 80% TUBE 1L ANDA;;SNACK;;3.9000;4.5000;6.0000;4.7700;0;;;MAYONNAISE 80% TUBE 1L ANDA;;
ART0373;BLACK JACK SMOKEY BBQ 800ML;;SNACK;;3.5000;4.0000;6.0000;4.2400;0;;;BLACK JACK SMOKEY BBQ 800ML;;
ART0825;CREME FRESHLI 20%;;SNACK;;0.3200;3.3500;6.0000;3.5510;0;;;CREME FRESHLI 20%;;
ART0827;HUILE FRITURE 10L;;SNACK;;1.5000;1.6500;6.0000;1.7500;0;;;HUILE FRITURE 10L;;
ART1460;COMBI TADAL FROMAGE;;SNACK;;2.8900;3.1800;6.0000;3.3700;0;;;COMBI TADAL FROMAGE;;
ART1461;COCA COLA ZERO 30 X0.33L;;BOISSON;;19.0000;20.9000;6.0000;22.1540;0;;;COCA COLA ZERO 30 X0.33L;;
ART1462;PILI PLI SAUS 9.8KG;;SNACK;;14.2300;15.6530;6.0000;16.5922;0;;;PILI PLI SAUS 9.8KG;;
ART1463;FRITE 10/10 XTRA CRISPY;;SNACK;;17.9900;18.8895;6.0000;20.0229;0;;;FRITE 10/10 XTRA CRISPY;;
ART1471;CECEMEL 24X0.25L;;BOISSON;;0;25.3000;6.0000;26.8180;0;;;CECEMEL 24X0.25L;;
ART1472;SIMON LIFE MANDARINE 24X0.25L;;BOISSON;;0;13.0000;6.0000;13.7800;0;;;SIMON LIFE MANDARINE 24X0.25L;;
ART1480;COCA COLA DK 24x0.33L;;BOISSON;;0;14.5000;6.0000;15.3700;0;;;COCA COLA DK 24x0.33L;;
ART1481;COCA ZERO DK 24x0.33L;;BOISSON;;0;14.5000;6.0000;15.3700;0;;;COCA ZERO DK 24x0.33L;;
